UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
AC,Air Canada,221
ADB,Antonov Company,61
AF,Compagnie Natl Air France,4
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,2756
AM,Aeromexico,26
AMQ,Ameristar Air Cargo,964
AN,"ADVANCED AIR, LLC",2303
AS,Alaska Airlines Inc.,251181
AX,Trans States Airlines,80817
AY,Finnair Oy,3
B6,JetBlue Airways,299723
BA,British Airways Plc,34
BCQ,Bradley Air Services Ltd.,1
BR,Eva Airways Corporation,1358
C5,CommuteAir LLC dba CommuteAir,45903
CA,Air China,702
CC,Air Atlanta Icelandic,14
CH,Bemidji Airlines,580
CI,China Airlines Ltd.,3099
